emoji,words,category
🇦🇪,united arab emirates,country flag
🇦🇫,afghanistan,country flag
🇦🇬,antigua & barbuda,country flag
🇦🇮,anguilla,country flag
🇦🇱,albania,country flag
🇦🇲,armenia,country flag
🇦🇴,angola,country flag
🇦🇶,antarctica,country flag
🇦🇷,argentina,country flag
🇦🇸,american samoa,country flag
🇦🇹,austria,country flag
🇦🇺,australia,country flag
🇦🇼,aruba,country flag
🇦🇽,åland islands,country flag
🇦🇿,azerbaijan,country flag
🇧🇦,bosnia & herzegovina,country flag
🇧🇧,barbados,country flag
🇧🇩,bangladesh,country flag
🇧🇪,belgium,country flag
🇧🇫,burkina faso,country flag
🇧🇬,bulgaria,country flag
🇧🇭,bahrain,country flag
🇧🇮,burundi,country flag
🇧🇯,benin,country flag
🇧🇱,st. barthélemy,country flag
🇧🇲,bermuda,country flag
🇧🇳,brunei,country flag
🇧🇴,bolivia,country flag
🇧🇶,caribbean netherlands,country flag
🇧🇷,brazil,country flag
🇧🇸,bahamas,country flag
🇧🇹,bhutan,country flag
🇧🇻,bouvet island,country flag
🇧🇼,botswana,country flag
🇧🇾,belarus,country flag
🇧🇿,belize,country flag
🇨🇦,canada,country flag
🇨🇨,cocos (keeling) islands,country flag
🇨🇩,congo - kinshasa,country flag
🇨🇫,central african republic,country flag
🇨🇬,congo - brazzaville,country flag
🇨🇭,switzerland,country flag
🇨🇮,côte d’ivoire,country flag
🇨🇰,cook islands,country flag
🇨🇱,chile,country flag
🇨🇲,cameroon,country flag
🇨🇳,china,country flag
🇨🇴,colombia,country flag
🇨🇵,clipperton island,country flag
🇨🇶,sark,country flag
🇨🇷,costa rica,country flag
🇨🇺,cuba,country flag
🇨🇻,cape verde,country flag
🇨🇼,curaçao,country flag
🇨🇽,christmas island,country flag
🇨🇾,cyprus,country flag
🇨🇿,czechia,country flag
🇩🇪,germany,country flag
🇩🇬,diego garcia,country flag
🇩🇯,djibouti,country flag
🇩🇰,denmark,country flag
🇩🇲,dominica,country flag
